###### Update this every run, make sure other PS values are set to -1! #########
###### 

Run	Type     P_SHMS  Theta_SHMS   P_HMS   Theta_HMS   Target   Ebeam  Current   PS1  PS3  PS5   HMS-Rate(kHz)  SHMS-Rate(kHz)  COIN-Rate(kHz)   Charge(mC)     Raw-coin  SHMS_h_tracking      Comment
6694	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  12         12    8   0     11.162        161.421         0.206            38.542	   611787     89.88               !59 Good COIN
6695	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  12         12    8   0     11.300        162.421         0.191            42.902         681613     89.91               !87 Good COIN
6696	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  12         12    8   0     11.156        162.279         0.195            37.926         601831     89.83               !81 Good COIN
6697	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  12         12    8   0     11.253        162.247         0.185            39.725         636652     89.65               !81 Good COIN
6698	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2	   3.835  12         12    8   0     --		   --		   --		    --		   --	      --		  ! JUNK
6699	Prod	 +2.583	 6.79	      -0.968  21.14	Dummy10cm  3.835  35         12    8   0     11.013        160.547         0.216            123.637        759003     88.96               !12 Good COIN
6700	Prod	 +2.583	 6.79	      -0.968  21.14	Dummy10cm  3.835  35         12    8   0     11.081        162.527         0.215            102.698        625814     88.68               !12 Good COIN
6701	Prod	 +2.583	 6.79	      -0.968  21.14	Dummy10cm  3.835  35         12    8   0     11.105        159.900         0.213            64.151         400693     88.95               !0   Good COIN
6702	Prod	 +2.583	 6.79	      -0.968  21.14	Dummy10cm  3.835  35         12    8   0     11.107        158.445         0.217            4.899          31296      89.44               !0   Good COIN
6703	Prod	 +2.583	 6.79	      -0.968  21.14	Dummy10cm  3.835  35         12    8   0     11.009        157.330         0.215            120.341        731023     88.99               !8   Good COIN
6704	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2      3.835  18         12    8   0     16.711        247.454         0.392            58.020         1275345    86.33               !107 Good COIN
6705	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2      3.835  18         12    8   0     16.853        205.732         0.415            58.513         1290850    86.25               !90  Good COIN
6706	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2      3.835  18         12    8   0     17.134        253.902         0.401            56.399         1244315    85.62               !88  Good COIN
6707	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2      3.835  18         12    8   0     16.885        250.192         0.397            77.254         1703870    91.28               !118 Good COIN
6708	Prod	 +2.583	 6.79	      -0.968  21.14	  LH2      3.835  18         12    8   0     17.013        252.916         0.397            34.855          774649    91.02               !57  Good COIN

Run	Type     P_SHMS  Theta_SHMS   P_HMS   Theta_HMS   Target   Ebeam  Current   PS1  PS3  PS5   HMS-Rate(kHz)  SHMS-Rate(kHz)  COIN-Rate(kHz)   Charge(mC)     Raw-coin  SHMS_h_tracking      Comment
6709	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  24         12    9   0     15.554        131.934         0.282            63.830         1067150    93.87               ! 88  Good COIN
6710	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  24         12    9   0     18.704        158.840         0.337            74.771         1237020    93.64               ! 94  Good COIN
6711	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  35         12    9   0     16.440        139.470         0.296            135.662        2250875    94.12               ! 223 Good COIN    
6712	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  35         12    9   0     29.325        247.734         0.735            101.282        2351826    92.09               ! 157 Good COIN
6713	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  35         12    9   0     27.582        232.735         0.688            106.622        2468909    91.44               ! 152 Good COIN       
6714	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  35         12    9   0     31.630        266.731         0.792            99.482         2312018    91.93               ! 134 Good COIN
6715	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  35         12    9   0     31.571	   265.858	   0.790	    133.855	   3100675    92.34		  ! 227 Good Coin
6716	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  35	     12	   9   0     30.671	   258.152         0.766	    114.011	   2648351    91.94		  ! 144 Good Coin
6717	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  50	     12	   9   0     16.778        140.424         0.543 	    32.760	   995691     89.24		  ! 50  JUNK Unstable Beam,Ended Run
6718	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  50	     12	   9   0     44.132	   368.554	   1.537	    161.635	   5294112    90.04		  ! 209 Good Coin 	   
6719	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  50	     12	   9   0     43.285	   361.563	   1.502	    148.311	   4842659    89.72		  ! 178 Good Coin
6720	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  50	     12	   9   0     40.775	   340.098	   1.410	    147.405	   4801250    90.85		  ! 181 Good Coin
6721	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  50	     12	   9   0     40.031	   333.730	   1.387	    109.873	   3586973    89.61		  ! 129 Good Coin
6722	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  40	     12	   9   0     -		   -		   -		    -		   -	      -     		  ! JUNK no beam long time
6723	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  40	     12	   9   0     35.280	   293.095	   0.964	    23.409	   604188     93.30		  ! 16 Good Coin  JUNK
6724	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  40	     12	   9   0     36.551	   305.403	   1.018 	     8.803	   245141     91.47		  ! 18 Good Coin
6725	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  40	     12	   9   0     38.887	   215.593	   1.146	   142.553	   3773497    91.26		  ! 169 lambdas - Good
6726	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  40	     12	   9   0     37.600	   209.800	   1.047	    81.894	   2155123    91.61		  ! 106 labmdas - good data
6727	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  40	     12	   9   0     38.6	   324.5	   1.086	    54.000	   1437618    90.65		  ! 95 lambdas - good data
6728	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  40	     12	   9   0     38.423	   324.0	   1.076	   137.485	   3646912    91.39            	  ! 179 lambdas - good data
6729	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  40	     12	   9   0     39.045	   325.189	   1.087	   135.672	   3598785    91.32		  ! - vme08 error at end
6730	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  40	     12	   9   0     39.0	   325.0	   1.114	   160.132         4244730    90.94		  ! 212 lambdas

6731    Optics   +2.583  9.79         -0.968  13.00       C-1.5%   3.835  7.5        5     0   -1    1.8           25.0            -1                              -1         97.17               ! HMS sieve, SHMS collimator run
6732	Prod	 +2.583	 9.79	      -0.968  21.14	  dummy    3.835  40	     10	   8   0     12.695        88.064          0.145           135.773         482291     95.70               ! run with dummy target
6733	Prod	 +2.583	 9.79	      -0.968  21.14	  dummy    3.835  40	     10	   8   0     12.746        88.557          0.145           145.450         514237     95.72               ! run with dummy target 
6734	Prod	 +2.583	 9.79	      -0.968  21.14	  dummy    3.835  40	     10	   8   0     12.450        86.496          0.141           105.617         380789     95.63               ! run with dummy target
 
6735	Prod	 +2.583	 9.79	      -0.968  21.14	  LH2      3.835  50         13    10  0     -             -               -               -               -          -                   ! JUNK no beam long time	 
6736    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  50         13    10  0     46.224	   384.940	   1.591	   131.922	   4288535    89.61		  ! 155 Lambdas
6737    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  50         13    10  0     45.855	   381.860	   1.571	   59.222	   1924341    89.61		  ! 100 Lambdas 
6738    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  50         13    10  0     46.291	   385.104	   1.594	   135.703	   4417490    89.90		  ! 173 Lambdas
6739    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  50         13    10  0     48.093	   400.109	   1.669	   150.119	   4921455    89.31		  ! 223 Lambdas
6740    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  50         13    10  0     47.499	   394.728	   1.642	   159.767 	   5225408    89.26		  ! 200 Lambdas
6741    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  50         13    10  0     47.875	   397.581	   1.658	   172.682	   5660482    90.22		  ! 204 Lambdas
6742    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  50         13    10  0     47.939	   397.755	   1.658	   174.878	   5727924    89.60		  ! 228 Lambdas
6743    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  50         13    10  0     48.380	   401.010	   1.678	   160.258	   5271630    89.27		  ! 208 Lambdas
6744    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  24         12     9  0     22.860	   191.458	   0.410	   85.518	   1429132    93.78		  ! 104 Lambdas
6745    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  24         12     9  0     27.784	   190.612	   0.409	   78.016	   1308089    93.92		  ! 133 Lambdas
6746    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  24         12     9  0     23.0	   193.1	   0.406	   81.027	   1355333    93.96		  ! 136 Lambdas
6747    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  24         12     9  0     22.831	   190.700	   0.409           81.551	   1364913    93.55		  ! 130 Lambdas
6748    Prod	 +2.583  9.79	      -0.968  21.14	  LH2      3.835  24         12     9  0     23.278	   195.815	   0.412	   83.445	   1397274    94.22		  ! 122 Lambdas 

Run	Type	P_SHMS	Theta_SHMS      P_HMS	Theta_HMS	Target	Ebeam	Current	PS1	PS3	PS5	HMS-Rate(kHz)	SHMS-Rate(kHz)	COIN-Rate(kHz)	Charge(mC)	Raw-coin	SHMS_h_tracking	        Comment

6749	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	24.173	12	9	0	22.907		191.722		0.41		85.475		1425716.0	0.938			!153 lambdas
6750	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	23.59	12	9	0	22.968		192.127		0.413		83.462		1399097.0	0.9372			!129 lambda events
6751	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	23.256	12	9	0	22.879		191.432		0.41		82.619		1382627.0	0.9368			!128 lambdas 
